
|PKG_NAME                      |MODEL_NAME                                        |SCHEMA_NAME         |TABLE_NAME                              |
|wip-slowmove                  |CA_MB5B_CLOSING                                   |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_MB5B_CLOSING                                   |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_MB5B_CLOSING                                   |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_MB5B_CLOSING_BACKUP                            |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_MB5B_CLOSING_BACKUP                            |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_MB5B_CLOSING_BACKUP                            |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_MIGO                                           |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_MIGO                                           |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_SLOW_MOVE                                      |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_SLOW_MOVE                                      |SAPABAP1            |MBEW                                    |
|wip-slowmove                  |CA_SLOW_MOVE                                      |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_SLOW_MOVE                                      |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_SLOW_MOVE                                      |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_SLOW_MOVE                                      |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_SLOW_MOVE                                      |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |MAKT                                    |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |MARA                                    |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |MBEW                                    |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |T001L                                   |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |T001W                                   |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |T023T                                   |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |T134T                                   |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_SLOW_MOVE2                                     |SAPABAP1            |ZMM_DDTP                                |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |MAKT                                    |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |MARA                                    |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |MBEW                                    |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |T001L                                   |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |T001W                                   |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |T023T                                   |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |T134T                                   |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_SLOW_MOVE3                                     |SAPABAP1            |ZMM_DDTP                                |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |MAKT                                    |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |MARA                                    |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |MBEW                                    |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |T001L                                   |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |T001W                                   |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |T023T                                   |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |T134T                                   |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_SLOW_MOVE4                                     |SAPABAP1            |ZMM_DDTP                                |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |MAKT                                    |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |MARA                                    |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |MBEW                                    |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |T001L                                   |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |T001W                                   |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |T023T                                   |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |T134T                                   |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_SLOW_MOVE5                                     |SAPABAP1            |ZMM_DDTP                                |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |MAKT                                    |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |MARA                                    |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |MBEW                                    |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |T001L                                   |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |T001W                                   |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |T023T                                   |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |T134T                                   |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_SLOW_MOVE6                                     |SAPABAP1            |ZMM_DDTP                                |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |MAKT                                    |
|wip-slowmove                  |CA_SLOW_MOVE7                                     |SAPABAP1            |MARA                                    |
